Commune,UrbanLevel
Aldersgate,1
Bishopsgate,1
Cripplegate,1
Farringdon Within,1
Farringdon Without,1
Portsoken,1
Queenhithe,1
Tower,1
Abbey,1
Alibon,1
Becontree,1
Chadwell Heath,1
Eastbrook,1
Eastbury,1
Gascoigne,1
Goresbrook,1
Heath,1
Longbridge,1
Mayesbrook,1
Parsloes,1
River,1
Thames,1
Valence,1
Village,1
Whalebone,1
Brunswick Park,1
Burnt Oak,1
Childs Hill,1
Colindale,1
Coppetts,1
East Barnet,1
East Finchley,1
Edgware,1
Finchley Church End,1
Garden Suburb,1
Golders Green,1
Hale,1
Hendon,1
High Barnet,1
Mill Hill,1
Oakleigh,1
Totteridge,1
Underhill,1
West Finchley,1
West Hendon,1
Woodhouse,1
Barnehurst,1
Belvedere,1
Blackfen and Lamorbey,1
Blendon and Penhill,1
Brampton,1
Christchurch,1
Colyers,1
Crayford,1
Cray Meadows,1
Danson Park,1
East Wickham,1
Erith,1
Falconwood and Welling,1
Lesnes Abbey,1
Longlands,1
North End,1
Northumberland Heath,1
St Mary's,1
St Michael's,1
Sidcup,1
Thamesmead East,1
Alperton,1
Barnhill,1
Brondesbury Park,1
Dollis Hill,1
Dudden Hill,1
Fryent,1
Harlesden,1
Kensal Green,1
Kenton,1
Kilburn,1
Mapesbury,1
Northwick Park,1
Preston,1
Queens Park,1
Queensbury,1
Stonebridge,1
Sudbury,1
Tokyngton,1
Welsh Harp,1
Wembley Central,1
Willesden Green,1
Bickley,1
Bromley Common and Keston,1
Bromley Town,1
Chelsfield and Pratts Bottom,1
Chislehurst,1
Clock House,1
Copers Cope,1
Cray Valley East,1
Cray Valley West,1
Crystal Palace,1
Farnborough and Crofton,1
Hayes and Coney Hall,1
Kelsey and Eden Park,1
Mottingham and Chislehurst North,1
Orpington,1
Penge and Cator,1
Petts Wood and Knoll,1
Plaistow and Sundridge,1
Shortlands,1
West Wickham,1
Belsize,1
Bloomsbury,1
Camden Town with Primrose Hill,1
Cantelowes,1
Fortune Green,1
Frognal and Fitzjohns,1
Gospel Oak,1
Hampstead Town,1
Haverstock,1
Highgate,1
Holborn and Covent Garden,1
Kentish Town,1
Kilburn,1
King's Cross,1
Regent's Park,1
St Pancras and Somers Town,1
Swiss Cottage,1
West Hampstead,1
Addiscombe,1
Ashburton,1
Bensham Manor,1
Broad Green,1
Coulsdon East,1
Coulsdon West,1
Croham,1
Fairfield,1
Fieldway,1
Heathfield,1
Kenley,1
New Addington,1
Norbury,1
Purley,1
Sanderstead,1
Selhurst,1
Selsdon and Ballards,1
Shirley,1
South Norwood,1
Thornton Heath,1
Upper Norwood,1
Waddon,1
West Thornton,1
Woodside,1
Acton Central,1
Cleveland,1
Dormers Wells,1
Ealing Broadway,1
Ealing Common,1
East Acton,1
Elthorne,1
Greenford Broadway,1
Greenford Green,1
Hanger Hill,1
Hobbayne,1
Lady Margaret,1
Northfield,1
North Greenford,1
Northolt Mandeville,1
Northolt West End,1
Norwood Green,1
Perivale,1
South Acton,1
Southall Broadway,1
Southall Green,1
Southfield,1
Walpole,1
Bowes,1
Bush Hill Park,1
Chase,1
Cockfosters,1
Edmonton Green,1
Enfield Highway,1
Enfield Lock,1
Grange,1
Haselbury,1
Highlands,1
Jubilee,1
Lower Edmonton,1
Palmers Green,1
Ponders End,1
Southbury,1
Southgate,1
Southgate Green,1
Town,1
Turkey Street,1
Upper Edmonton,1
Winchmore Hill,1
Abbey Wood,1
Blackheath Westcombe,1
Charlton,1
Coldharbour and New Eltham,1
Eltham North,1
Eltham South,1
Eltham West,1
Glyndon,1
Greenwich West,1
Kidbrooke with Hornfair,1
Middle Park and Sutcliffe,1
Peninsula,1
Plumstead,1
Shooters Hill,1
Thamesmead Moorings,1
Woolwich Common,1
Woolwich Riverside,1
Brownswood,1
Cazenove,1
Chatham,1
Clissold,1
Dalston,1
De Beauvoir,1
Hackney Central,1
Hackney Downs,1
Haggerston,1
Hoxton,1
King's Park,1
Leabridge,1
Lordship,1
New River,1
Queensbridge,1
Springfield,1
Stoke Newington Central,1
Victoria,1
Wick,1
Addison,1
Askew,1
Avonmore and Brook Green,1
College Park and Old Oak,1
Fulham Broadway,1
Fulham Reach,1
Hammersmith Broadway,1
Munster,1
North End,1
Palace Riverside,1
Parsons Green and Walham,1
Ravenscourt Park,1
Sands End,1
Shepherd's Bush Green,1
Town,1
Wormholt and White City,1
Alexandra,1
Bounds Green,1
Bruce Grove,1
Crouch End,1
Fortis Green,1
Harringay,1
Highgate,1
Hornsey,1
Muswell Hill,1
Noel Park,1
Northumberland Park,1
St Ann's,1
Seven Sisters,1
Stroud Green,1
Tottenham Green,1
Tottenham Hale,1
West Green,1
White Hart Lane,1
Woodside,1
Belmont,1
Canons,1
Edgware,1
Greenhill,1
Harrow on the Hill,1
Harrow Weald,1
Hatch End,1
Headstone North,1
Headstone South,1
Kenton East,1
Kenton West,1
Marlborough,1
Pinner,1
Pinner South,1
Queensbury,1
Rayners Lane,1
Roxbourne,1
Roxeth,1
Stanmore Park,1
Wealdstone,1
West Harrow,1
Brooklands,1
Cranham,1
Elm Park,1
Emerson Park,1
Gooshays,1
Hacton,1
Harold Wood,1
Havering Park,1
Heaton,1
Hylands,1
Mawneys,1
Pettits,1
Rainham and Wennington,1
Romford Town,1
St Andrew's,1
South Hornchurch,1
Squirrel's Heath,1
Upminster,1
Barnhill,1
Botwell,1
Brunel,1
Cavendish,1
Charville,1
Eastcote and East Ruislip,1
Heathrow Villages,1
Hillingdon East,1
Ickenham,1
Manor,1
Northwood,1
Northwood Hills,1
Pinkwell,1
South Ruislip,1
Townfield,1
Uxbridge North,1
Uxbridge South,1
West Drayton,1
West Ruislip,1
Yeading,1
Yiewsley,1
Bedfont,1
Brentford,1
Chiswick Homefields,1
Chiswick Riverside,1
Cranford,1
Feltham North,1
Feltham West,1
Hanworth,1
Hanworth Park,1
Heston Central,1
Heston East,1
Heston West,1
Hounslow Central,1
Hounslow Heath,1
Hounslow South,1
Hounslow West,1
Isleworth,1
Osterley and Spring Grove,1
Syon,1
Turnham Green,1
Barnsbury,1
Bunhill,1
Caledonian,1
Canonbury,1
Clerkenwell,1
Finsbury Park,1
Highbury East,1
Highbury West,1
Hillrise,1
Holloway,1
Junction,1
Mildmay,1
St George's,1
St Mary's,1
St Peter's,1
Tollington,1
Abingdon,1
Brompton,1
Campden,1
Colville,1
Courtfield,1
Cremorne,1
Earl's Court,1
Golborne,1
Hans Town,1
Holland,1
Norland,1
Notting Barns,1
Pembridge,1
Queen's Gate,1
Redcliffe,1
Royal Hospital,1
St Charles,1
Stanley,1
Alexandra,1
Berrylands,1
Beverley,1
Canbury,1
Chessington North and Hook,1
Chessington South,1
Coombe Hill,1
Coombe Vale,1
Grove,1
Norbiton,1
Old Malden,1
St James,1
St Mark's,1
Surbiton Hill,1
Tolworth and Hook Rise,1
Tudor,1
Bishop's,1
Brixton Hill,1
Clapham Common,1
Clapham Town,1
Coldharbour,1
Ferndale,1
Gipsy Hill,1
Herne Hill,1
Knight's Hill,1
Larkhall,1
Oval,1
Prince's,1
St Leonard's,1
Stockwell,1
Streatham Hill,1
Streatham South,1
Streatham Wells,1
Thornton,1
Thurlow Park,1
Tulse Hill,1
Vassall,1
Bellingham,1
Blackheath,1
Brockley,1
Catford South,1
Crofton Park,1
Downham,1
Evelyn,1
Forest Hill,1
Grove Park,1
Ladywell,1
Lee Green,1
Lewisham Central,1
New Cross,1
Perry Vale,1
Rushey Green,1
Sydenham,1
Telegraph Hill,1
Whitefoot,1
Abbey,1
Cannon Hill,1
Colliers Wood,1
Cricket Green,1
Dundonald,1
Figge's Marsh,1
Graveney,1
Hillside,1
Lavender Fields,1
Longthornton,1
Lower Morden,1
Merton Park,1
Pollards Hill,1
Ravensbury,1
Raynes Park,1
St Helier,1
Trinity,1
Village,1
West Barnes,1
Wimbledon Park,1
Beckton,1
Boleyn,1
Canning Town North,1
Canning Town South,1
Custom House,1
East Ham Central,1
East Ham North,1
East Ham South,1
Forest Gate North,1
Forest Gate South,1
Green Street East,1
Green Street West,1
Little Ilford,1
Manor Park,1
Plaistow North,1
Plaistow South,1
Royal Docks,1
Stratford and New Town,1
Wall End,1
West Ham,1
Aldborough,1
Barkingside,1
Bridge,1
Chadwell,1
Church End,1
Clayhall,1
Clementswood,1
Cranbrook,1
Fairlop,1
Fullwell,1
Goodmayes,1
Hainault,1
Loxford,1
Mayfield,1
Monkhams,1
Newbury,1
Roding,1
Seven Kings,1
Snaresbrook,1
Valentines,1
Wanstead,1
Barnes,1
East Sheen,1
Fulwell and Hampton Hill,1
"Ham, Petersham and Richmond Riverside",1
Hampton,1
Hampton North,1
Hampton Wick,1
Heathfield,1
Kew,1
Mortlake and Barnes Common,1
North Richmond,1
St Margarets and North Twickenham,1
South Richmond,1
South Twickenham,1
Teddington,1
Twickenham Riverside,1
West Twickenham,1
Whitton,1
Brunswick Park,1
Camberwell Green,1
Cathedrals,1
Chaucer,1
College,1
East Dulwich,1
East Walworth,1
Faraday,1
Grange,1
Livesey,1
Newington,1
Nunhead,1
Peckham,1
Peckham Rye,1
Riverside,1
Rotherhithe,1
South Bermondsey,1
South Camberwell,1
Surrey Docks,1
The Lane,1
Village,1
Beddington North,1
Beddington South,1
Belmont,1
Carshalton Central,1
Carshalton South and Clockhouse,1
Cheam,1
Nonsuch,1
St Helier,1
Stonecot,1
Sutton Central,1
Sutton North,1
Sutton South,1
Sutton West,1
The Wrythe,1
Wallington North,1
Wallington South,1
Wandle Valley,1
Worcester Park,1
Bethnal Green North,1
Bethnal Green South,1
Blackwall and Cubitt Town,1
Bow East,1
Bow West,1
Bromley-by-Bow,1
East India and Lansbury,1
Limehouse,1
Mile End and Globe Town,1
Mile End East,1
Millwall,1
St Dunstan's and Stepney Green,1
St Katharine's and Wapping,1
Shadwell,1
Spitalfields and Banglatown,1
Weavers,1
Whitechapel,1
Cann Hall,1
Cathall,1
Chapel End,1
Chingford Green,1
Endlebury,1
Forest,1
Grove Green,1
Hale End and Highams Park,1
Hatch Lane,1
High Street,1
Higham Hill,1
Hoe Street,1
Larkswood,1
Lea Bridge,1
Leyton,1
Leytonstone,1
Markhouse,1
Valley,1
William Morris,1
Wood Street,1
Balham,1
Bedford,1
Earlsfield,1
East Putney,1
Fairfield,1
Furzedown,1
Graveney,1
Latchmere,1
Nightingale,1
Northcote,1
Queenstown,1
Roehampton and Putney Heath,1
St Mary's Park,1
Shaftesbury,1
Southfields,1
Thamesfield,1
Tooting,1
Wandsworth Common,1
West Hill,1
West Putney,1
Abbey Road,1
Bayswater,1
Bryanston and Dorset Square,1
Churchill,1
Church Street,1
Harrow Road,1
Hyde Park,1
Knightsbridge and Belgravia,1
Lancaster Gate,1
Little Venice,1
Maida Vale,1
Marylebone High Street,1
Queen's Park,1
Regent's Park,1
St James's,1
Tachbrook,1
Vincent Square,1
Warwick,1
Westbourne,1
West End,1
Astley Bridge,1
Bradshaw,1
Breightmet,1
Bromley Cross,1
Crompton,1
Farnworth,1
Great Lever,1
Halliwell,1
Harper Green,1
Heaton and Lostock,1
Hulton,1
Kearsley,1
Little Lever and Darcy Lever,1
Rumworth,1
Smithills,1
Tonge with the Haulgh,1
Westhoughton North and Chew Moor,1
Westhoughton South,1
Besses,1
Church,1
East,1
Elton,1
Holyrood,1
Moorside,1
North Manor,1
Pilkington Park,1
Radcliffe East,1
Radcliffe North,1
Radcliffe West,1
Ramsbottom,1
Redvales,1
St Mary's,1
Sedgley,1
Tottington,1
Unsworth,1
Ancoats and Clayton,1
Ardwick,1
Baguley,1
Bradford,1
Brooklands,1
Burnage,1
Charlestown,1
Cheetham,1
Chorlton,1
Chorlton Park,1
City Centre,1
Crumpsall,1
Didsbury East,1
Didsbury West,1
Fallowfield,1
Gorton North,1
Gorton South,1
Harpurhey,1
Higher Blackley,1
Hulme,1
Levenshulme,1
Longsight,1
